id_pytania,kompletnosc,id_sekcji
1,False,3
2,False,3
3,False,3
4,False,3
5,False,3
6,False,3
7,False,3
8,False,3
9,False,3
10,False,3
11,False,4
12,False,5
13,False,5
14,False,5
15,True,6
16,True,6
17,False,7
18,True,9
19,False,9
20,False,9
21,False,9
22,False,9
23,False,9
24,False,9
25,False,9
26,False,9
27,False,9
28,False,10
29,False,10
30,False,11
31,False,11
32,False,11
33,False,11
34,False,11
35,False,11
36,False,11
37,False,11
38,False,11
39,True,12
40,False,12
41,False,13
42,False,13
43,True,14
44,True,15
45,True,15
46,False,15
47,False,16
48,False,18
49,False,18
50,False,18
51,False,18
52,False,18
53,False,18
54,False,18
55,False,19
56,False,19
57,False,19
58,False,19
59,False,19
60,False,19
61,False,19
62,False,20
63,False,20
64,False,20
65,False,20
66,False,20
67,False,20
68,False,20
69,False,21
70,False,21
71,False,21
72,False,21
73,False,21
74,False,21
75,False,21
76,False,21
77,False,22
78,False,22
79,False,22
80,False,22
81,False,22
82,False,22
83,False,23
84,False,23
85,False,23
86,False,23
87,False,23
88,False,23
89,False,24
90,True,26
91,True,26
92,True,26
93,True,26
94,True,26
95,True,26
96,True,26
97,False,26
98,False,26
99,True,26
100,False,26
101,True,27
102,False,27
103,True,27
104,False,27
105,False,27
106,False,27
107,False,27
108,False,27
109,True,27
110,False,27
111,False,28
112,False,28
113,False,28
114,False,28
115,False,28
116,True,28
117,False,28
118,False,28
119,False,28
120,False,28
121,True,29
122,False,30
123,False,32
124,False,32
125,False,32
126,False,32
127,False,32
128,False,32
129,False,32
130,False,32
131,False,32
132,False,32
133,False,32
134,False,32
135,False,32
136,False,32
137,False,32
138,False,32
139,False,32
140,False,32
141,False,32
142,False,32
143,False,32
144,False,32
145,False,33
146,False,33
147,False,33
148,False,33
149,False,33
150,False,33
151,False,33
152,False,34
153,False,35
154,False,35
155,False,35
156,False,35
157,False,35
158,False,35
159,False,35
160,False,35
161,False,35
162,False,35
163,True,36
164,False,36
165,True,36
166,False,36
167,False,37
